CODE;LOGIN;NOM;PRENOM;PROMO;GROUPE;LV2;ALTERNANT;OPTION
20170073;i170073;NOM1;PRENOM1;MMI1;C;espagnol;NON;
20170009;i170009;NOM2;PRENOM2;MMI1;B;allemand;NON;
20170030;i170030;NOM3;PRENOM3;MMI1;F;espagnol;NON;
20170026;i170026;NOM4;PRENOM4;MMI1;D;espagnol;NON;
20170013;i170013;NOM5;PRENOM5;MMI1;A;allemand;NON;sport
20170023;i170023;NOM6;PRENOM6;MMI1;C;espagnol;NON;
20170021;i170021;NOM7;PRENOM7;MMI1;E;espagnol;NON;
20170055;i170055;NOM8;PRENOM8;MMI1;A;allemand;NON;
20170028;i170028;NOM9;PRENOM9;MMI1;C;espagnol;NON;
20170056;i170056;NOM10;PRENOM10;MMI1;B;allemand;NON;
20170065;i170065;NOM11;PRENOM11;MMI1;C;espagnol;NON;
20170043;i170043;NOM12;PRENOM12;MMI1;F;espagnol;NON;
20170017;i170017;NOM13;PRENOM13;MMI1;E;espagnol;NON;
20170027;i170027;NOM14;PRENOM14;MMI1;E;espagnol;NON;
20170041;i170041;NOM15;PRENOM15;MMI1;B;anglais;NON;
20170016;i170016;NOM16;PRENOM16;MMI1;D;espagnol;NON;
20170070;i170070;NOM17;PRENOM17;MMI1;E;espagnol;NON;
20170038;i170038;NOM18;PRENOM18;MMI1;B;allemand;NON;
20170078;i170078;NOM19;PRENOM19;MMI1;E;espagnol;NON;
20170066;i170066;NOM20;PRENOM20;MMI1;F;espagnol;NON;
20170012;i170012;NOM21;PRENOM21;MMI1;D;espagnol;NON;
20170058;i170058;NOM22;PRENOM22;MMI1;F;espagnol;NON;
20170040;i170040;NOM23;PRENOM23;MMI1;D;espagnol;NON;
20170006;i170006;NOM24;PRENOM24;MMI1;A;allemand;NON;
20170068;i170068;NOM25;PRENOM25;MMI1;F;espagnol;NON;
20170064;i170064;NOM26;PRENOM26;MMI1;A;allemand;NON;
20170072;i170072;NOM27;PRENOM27;MMI1;B;allemand;NON;
20170044;i170044;NOM28;PRENOM28;MMI1;A;allemand;NON;
20170077;i170077;NOM29;PRENOM29;MMI1;E;espagnol;NON;
20170008;i170008;NOM30;PRENOM30;MMI1;B;allemand;NON;
20170032;i170032;NOM31;PRENOM31;MMI1;E;espagnol;NON;
20170045;i170045;NOM32;PRENOM32;MMI1;C;espagnol;NON;
20170037;i170037;NOM33;PRENOM33;MMI1;F;espagnol;NON;
20170059;i170059;NOM34;PRENOM34;MMI1;C;espagnol;NON;
20170022;i170022;NOM35;PRENOM35;MMI1;B;allemand;NON;
20170062;i170062;NOM36;PRENOM36;MMI1;F;allemand;NON;
20170011;i170011;NOM37;PRENOM37;MMI1;F;espagnol;NON;sport
20170003;i170003;NOM38;PRENOM38;MMI1;A;espagnol;NON;sport
20170049;i170049;NOM39;PRENOM39;MMI1;B;allemand;NON;
20170052;i170052;NOM40;PRENOM40;MMI1;F;espagnol;NON;
20170001;i170001;NOM41;PRENOM41;MMI1;B;anglais;NON;
20170020;i170020;NOM42;PRENOM42;MMI1;E;espagnol;NON;sport
20170050;i170050;NOM43;PRENOM43;MMI1;F;espagnol;NON;
20170039;i170039;NOM44;PRENOM44;MMI1;C;espagnol;NON;
20170005;i170005;NOM45;PRENOM45;MMI1;C;espagnol;NON;
20170036;i170036;NOM46;PRENOM46;MMI1;C;espagnol;NON;
20170054;i170054;NOM47;PRENOM47;MMI1;E;espagnol;NON;
20170024;i170024;NOM48;PRENOM48;MMI1;D;espagnol;NON;
20170079;i170079;NOM49;PRENOM49;MMI1;B;allemand;NON;
20170051;i170051;NOM50;PRENOM50;MMI1;C;espagnol;NON;
20170075;i170075;NOM51;PRENOM51;MMI1;D;espagnol;NON;
20170034;i170034;NOM52;PRENOM52;MMI1;F;espagnol;NON;
20170007;i170007;NOM53;PRENOM53;MMI1;D;espagnol;NON;
20170004;i170004;NOM54;PRENOM54;MMI1;B;allemand;NON;
20170076;i170076;NOM55;PRENOM55;MMI1;A;allemand;NON;
20170053;i170053;NOM56;PRENOM56;MMI1;D;espagnol;NON;
20170067;i170067;NOM57;PRENOM57;MMI1;E;espagnol;NON;
20170071;i170071;NOM58;PRENOM58;MMI1;A;allemand;NON;
20170063;i170063;NOM59;PRENOM59;MMI1;D;espagnol;NON;
20170018;i170018;NOM60;PRENOM60;MMI1;D;espagnol;NON;
20170029;i170029;NOM61;PRENOM61;MMI1;F;espagnol;NON;
20170033;i170033;NOM62;PRENOM62;MMI1;A;anglais;NON;
20170035;i170035;NOM63;PRENOM63;MMI1;D;espagnol;NON;
20170031;i170031;NOM64;PRENOM64;MMI1;E;espagnol;NON;
20170014;i170014;NOM65;PRENOM65;MMI1;C;espagnol;NON;
20170048;i170048;NOM66;PRENOM66;MMI1;A;allemand;NON;
20170046;i170046;NOM67;PRENOM67;MMI1;D;espagnol;NON;
20170010;i170010;NOM68;PRENOM68;MMI1;F;espagnol;NON;
20170074;i170074;NOM69;PRENOM69;MMI1;C;espagnol;NON;
20170069;i170069;NOM70;PRENOM70;MMI1;A;allemand;NON;
20170047;i170047;NOM71;PRENOM71;MMI1;C;espagnol;NON;
20170002;i170002;NOM72;PRENOM72;MMI1;E;espagnol;NON;
20170057;i170057;NOM73;PRENOM73;MMI1;E;espagnol;NON;
